coffee_title,roaster,roaster_location,coffee_origin,coffee_region,flavor,purchase
Kilenso,Coava,"Portland, Oregon", Ethiopia,['Sidama'],"Lavender, Cantaloupe, Fresh Cream",https://fellowproducts.com/products/coava-ethiopia-kilenso
Halo Hartume,Black,"Raleigh, North Carolina", Ethiopia,"['Gedeb', ' Yirgacheffe']","Black Tea, Rose, Dried Berries, Apple",https://fellowproducts.com/products/black-and-white-halo-hartume
Karamo,Bird,"San Diego, California", Ethiopia,['Sidama'],"Cherry, Honey Melon, Lime, Brown Sugar",https://fellowproducts.com/products/karamo
Suyusama,BRCR,"San Diego, California", Colombia,['Nariño'],"Black Tea, Florals, Yellow Nectarine, Ginger",https://fellowproducts.com/products/suyusama-program
Colombia Eduardo Muñoz Tulcan Pink Bourbon,Onyx,"Rogers, Arkansas", Colombia,['Huila'],"Grape, Pineapple, Blackberry Jam, Cherry, Watermelon",https://fellowproducts.com/products/colombia-eduardo-munoz-tulcan-pink-bourbon
Colombia Delagua Saul Torres Honey,Brandywine,"Wilmington, Delaware", Colombia,['Sierra Nevada de Santa Marta'],"Melon, Pomegranate, Rose, Macadamia, Dark Honey",https://fellowproducts.com/products/colombia-delagua-saul-torres-honey
Ethiopia Kercha Natural,Cat,"Capitola, California", Ethiopia,['Guji'],"Mixed Berries, Florals, Bright Fruit Punch",https://fellowproducts.com/products/ethiopia-kercha-natural
Burundi Cumba,BRCR,"San Diego, California", Burundi,['Ngozi Province'],"Whipped Cream, Sugar, Caramel, Tangerine",https://fellowproducts.com/products/cumba
Costa Rica Las Lajas Natural,Onyx,"Rogers, Arkansas", Costa Rica,['Sabanilla de Alajuela'],"Plum Wine, Blood Orange, Dried Apricot, Black Cherry",https://fellowproducts.com/products/costa-rica-las-lajas-natural
Rwanda Kanzu Lot 17,Brandywine,"Wilmington, Delaware", Rwanda,"['Nyamasheke', ' Western Province']","Sugar, Kiwi, Honey Melon, Butter, Banana, Mandarin",https://fellowproducts.com/products/rwanda-kanzu-washed-lot-17
Peñaherrera AAA,BRCR,"San Diego, California", Ecuador,"['Ibarra', ' Imbabura']","Melon, Brown Sugar Cookies, Plum, Cola",https://fellowproducts.com/products/penaherrera-aaa
Ethiopia Worka Sakaro Anaerobic Natural,Brandywine,"Wilmington, Delaware", Ethiopia,['Gedeb'],"Sweet Berries, Cherry, Caramel Apple, Bergamot",https://fellowproducts.com/products/ethiopia-worka-sakaro-anaerobic-natural
Tres Dragones,BRCR,"San Diego, California", Colombia,"['Caicedonia', ' Valle del Cauca']","Pink Lady Apples, Passionfruit",https://fellowproducts.com/products/tres-dragones
Tropical Weather,Onyx,"Rogers, Arkansas", Ethiopia,['Various'],"Mango, Pineapple, Peach Sweet Tea, Floral",https://fellowproducts.com/products/tropical-weather
Panama CCD Carolyn Saraceni,Brandywine,"Wilmington, Delaware", Panama,['Boquete'],"Lychee, Watermelon Jolly Rancher, Guava",https://fellowproducts.com/products/panama-carolyn-saraceni-intrinsic-cherry
Colombia El Progreso,Brandywine,"Wilmington, Delaware", Colombia,['Huila'],"Gala Apples, Caramel, Bergamot",https://fellowproducts.com/products/colombia-el-progreso-washed
S.O. Blend,Coava,"Portland, Oregon", East Africa,['Americas'],"Chocolate, Fruit Aftertaste",https://fellowproducts.com/products/coava-s-o-blend
Monarch,Onyx,"Rogers, Arkansas", Colombia,['Ethiopia'],"Dark Chocolate, Dried Cherries, Raspberry, Goji Berries, Molasses",https://fellowproducts.com/products/monarch
Guatemala Ayarza Natural,Brandywine,"Wilmington, Delaware", Guatemala,['Laguna de Ayarza'],"Cherry, Strawberry, Confectioners’ Sugar",https://fellowproducts.com/products/guatemala-ayarza-natural
Peaceful Peru,Couplet,"Los Angeles, California", Peru,['San Ignacio'],"Peach, Caramel, Dried Cranberry, Lime",https://fellowproducts.com/products/couplet-peaceful-peru
Marigold,Queer,"Oakland, California", Honduras,"['Santa Elena', ' La Paz']","Tealike Mouthfeel, Slight Florals, Tangerine",https://fellowproducts.com/products/queer-wave-coffee-marigold
Ethiopia Chelbesa Natural,Brandywine,"Wilmington, Delaware", Ethiopia,"['Gedeb District', ' Gedeo Zone']","Mixed Berry Jam, Candyheart Grapes",https://fellowproducts.com/products/ethiopia-chelbesa-natural-12oz
